"Id продукта","В распродаже","Только на сайте","EAN13","UPC (Универсальный код продукта)","Эко-налог","Количество","Минимальное количество","Цена","Оптовая цена","Объединение","Соотношение цены единицы","Дополнительная стоимость доставки","Артикул","Артикул поставщиков","Цена поставщика за единицу (без НДС)","Местоположение","Ширина","Высота","Глубина","Вес","Нет на складе","Количественные скидки","Настраиваемые","Статус","Тип перенаправления","# перенаправленного товара","Доступны для заказа","Дата поступления","Состояние","Показать цену","Индексированный","Видимость","это Продукт в упаковке","Имеет вложения","Виртуальный продукт","Кешировать Атрибут по умолчанию","Добавить дату","Дата обновления","Расширенные возможности управления складом","pack_stock_type","Описание","Краткое описание","ЧПУ (Friendly URL)","Мета описание","Мета ключевые слова","Мета заголовок","Название продукта","Доступен сейчас","Доступен позже","Теги","URL продукта","Категория","Позиция","Производитель","Поставщик","Изображения товара","Налог","Product Carrier","Аксессуары продуктов","ID Комбинации","Артикул комбинаций","Артикул поставщика комбинаций","Оптовая цена за комбинацию (без НДС)","Местоположение комбинации","EAN13 комбинация","UPC Комбинация","Оптовая цена комбинации","Цена Комбинации","Эко налог для Комбинаций","Количество комбинаций","Вес комбинаций","Влияние комбинации на цену","Комбинация по умолчанию","Мин. количество комбинации","Дата поступления разновидности товара","Изображения для комбинации","Feature: Пол","Feature: Размер Обуви","Feature: Размер Одежды","Feature: Состояние","Feature: Тип Аксессуара","Feature: Тип Верхней Одежды","Feature: Тип Обуви","Feature: Тип Одежды","Feature: Тип Сумки","Feature: Тип Украшений","Спец.цена: ID магазина","Specific Price: Currency","Спец.цена: ID страны","Спец.цена: ID группы","Спец.цена: ID пользователя","Спец.цена: ID комбинации","Спец.цена: Цена товара","Спец.цена: Начинается с","Спец.цена: Скидка","Specific Price: Reduction Tax","Спец.цена: Тип скидки","Спец.цена: С","Спец.цена: До","Текстовые поля","Загружаемые файлы","Виртуал.продукт: Имя файла для отображения","Виртуал.продукт: имя файла","Виртуальный: Дата окончания срока действия","Виртуал.продукт: Количество дней","Виртуал.продукт: Количество загрузок","Виртуал.продукт: Это загружаемые продукт","ID приложения","Имя файла приложения","Имя приложения","Описание приложения"
"4630","0","0","","","0","1","1","3300","3300","","0","0","","","0","","0","0","0","0","2","0","0","1","404","0","1","01.03.2017","new","1","1","both","0","0","0","0","03.01.2017","22.08.2017 0:50:33","0","3","<h1>Платье Isabel Marant - Оригинал</h1>
<h2>Размер 36</h2>","<h3>Платье Isabel Marant </h3>","plate-isabel-marant-razmer-36","Платье Isabel Marant  в Отличном Состоянии. Цена 3300 Грн","","Платье Isabel Marant - Размер 36 - Только Оригинал","Платье Isabel Marant - Размер 36","В наличии","","оригинал,brand fashion,комиссионный магазин,isabel marant,купить,платье","http://brand-fashion.com.ua/odezhda/4630-plate-isabel-marant-razmer-36.html","Корень|Главная|Одежда ","0","Isabel Marant","","http://brand-fashion.com.ua/img/p/1/1/0/110.jpg","UK Standard Rate (20%)","","","","","","","","","","","","","","","","","","","","","","36","Отличное","","","","Платье","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4639","0","0","","","0","1","1","5200","5200","","0","0","","","0","","0","0","0","0","2","0","0","1","404","0","1","01.03.2017","new","1","1","both","0","0","0","0","03.01.2017","13.09.2017 2:59:40","0","3","<h2>Туфли Theyskens Theory, Оригинал</h2>
<p>Размер 38. Отличное Состояние</p>
<p></p>","<p>Туфли Замшевые Theyskens Theory</p>","tufli-theyskens-theory-38","Замшевые Туфли Theyskens Theory в Отличном Состоянии.
Цена 5200 Грн","","Туфли Theyskens Theory, р38","Туфли Theyskens Theory. 38","В наличии","","brand fashion,комиссионный магазин,грн,купить,туфли,в,замшевые,брендовая,Цена,обувь,Theyskens Theory","http://brand-fashion.com.ua/obuv-brand/4639-tufli-theyskens-theory-38.html","Корень|Главная|Обувь","0","THEYSKENS' THEORY","","http://brand-fashion.com.ua/img/p/1/1/6/116.jpg","UK Standard Rate (20%)","","","","","","","","","","","","","","","","","","","","","38","","Отличное","","","Туфли","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4662","0","0","","","0","1","1","3300","3300","","0","0","","","0","","0","0","0","0","2","0","0","1","404","0","1","01.03.2017","new","1","1","both","0","0","0","0","03.01.2017","22.08.2017 0:50:33","0","3","","","plate-willow-38","","","","Платье Willow. 38","В наличии","","brand fashion,комиссионный магазин","http://brand-fashion.com.ua/odezhda/4662-plate-willow-38.html","Корень|Главная|Одежда ","1","Willow","","http://brand-fashion.com.ua/img/p/1/1/9/119.jpg","UK Standard Rate (20%)","","","","","","","","","","","","","","","","","","","","","","38","Отличное","","","","Платье","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4695","0","0","","","0","1","1","900","900","","0","0","","","0","","0","0","0","0","2","0","0","0","404","0","1","01.03.2017","new","1","1","both","0","0","0","0","03.01.2017","09.12.2017 17:48:15","0","3","","","dzhinsy-ralph-lauren-27","","","","Джинсы Ralph Lauren. 27","В наличии","","brand fashion,комиссионный магазин","http://brand-fashion.com.ua/odezhda/4695-dzhinsy-ralph-lauren-27.html","Корень|Главная|Одежда ","2","Ralph Lauren","","http://brand-fashion.com.ua/img/p/1/2/9/129.jpg","UK Standard Rate (20%)","","","","","","","","","","","","","","","","","","","","","","27","Отличное","","","","Джинсы","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4739","0","0","","","0","1","1","2000","2000","","0","0","","","0","","0","0","0","0","2","0","0","1","","0","1","01.03.2017","new","1","1","both","0","0","0","0","03.01.2017","20.10.2017 12:41:31","0","3","","ПОТ-40СМ","bryuki-dolce-gabbana-25","","","","Брюки Dolce & Gabbana. 25","В наличии","","brand fashion,комиссионный магазин","http://brand-fashion.com.ua/odezhda/4739-bryuki-dolce-gabbana-25.html","Корень|Главная|Одежда ","3","Dolce & Gabbana","","http://brand-fashion.com.ua/img/p/1/3/6/136.jpg","UK Standard Rate (20%)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4781","0","0","","","0","1","1","1100","1100","","0","0","","","0","","0","0","0","0","2","0","0","0","404","0","1","01.03.2017","new","1","1","both","0","0","0","0","03.01.2017","09.12.2017 17:48:15","0","3","","","bosonozhki-ballin-37","","","","Босоножки Ballin. 37","В наличии","","Брендовая Обувь,brand fashion,комиссионный магазин","http://brand-fashion.com.ua/obuv-brand/4781-bosonozhki-ballin-37.html","Корень|Главная|Обувь","1","BALLIN","","http://brand-fashion.com.ua/img/p/1/3/8/138.jpg","UK Standard Rate (20%)","","","","","","","","","","","","","","","","","","","","","37","","Отличное","","","Босоножки","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4850","0","0","","","0","1","1","1200","1200","","0","0","","","0","","0","0","0","0","2","0","0","1","404","0","1","01.03.2017","new","1","1","both","0","0","0","0","03.01.2017","20.10.2017 12:41:31","0","3","","","dzhinsy-gucci-38","","","","Джинсы Gucci. 38","В наличии","","brand fashion,комиссионный магазин,gucci","http://brand-fashion.com.ua/odezhda/4850-dzhinsy-gucci-38.html","Корень|Главная|Одежда ","4","Gucci","","http://brand-fashion.com.ua/img/p/1/4/5/145.jpg","UK Standard Rate (20%)","","","","","","","","","","","","","","","","","","","","","","38","Хорошее","","","","Джинсы","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4899","0","0","","","0","1","1","3000","3000","","0","0","","","0","","0","0","0","0","2","0","0","1","","0","1","01.03.2017","new","1","1","both","0","0","0","0","03.01.2017","20.10.2017 12:41:31","0","3","","","plate-rubashka-escada-34","","","","Платье-рубашка Escada. 34","В наличии","","brand fashion,комиссионный магазин","http://brand-fashion.com.ua/odezhda/4899-plate-rubashka-escada-34.html","Корень|Главная|Одежда ","5","Escada","","http://brand-fashion.com.ua/img/p/1/4/9/149.jpg","UK Standard Rate (20%)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4934","0","0","","","0","1","1","1000","1000","","0","0","","","0","","0","0","0","0","2","0","0","0","404","0","1","01.03.2017","new","1","1","both","0","0","0","0","03.01.2017","09.12.2017 17:48:15","0","3","","","tufli-ermanno-scervino-38","","","","Туфли Ermanno Scervino. 38","В наличии","","brand fashion,комиссионный магазин","http://brand-fashion.com.ua/obuv-brand/4934-tufli-ermanno-scervino-38.html","Корень|Главная|Обувь","2","Ermanno Scervino","","http://brand-fashion.com.ua/img/p/1/5/8/158.jpg","UK Standard Rate (20%)","","","","","","","","","","","","","","","","","","","","","38","","Отличное","","","Туфли","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4940","0","0","","","0","1","1","6000","6000","","0","0","","","0","","0","0","0","0","0","0","0","1","404","0","1","01.03.2017","new","1","1","both","0","0","0","0","03.01.2017","03.03.2018 17:09:34","0","3","<h2>Пуховик  и комбинезон Christian Dior, Оригинал</h2>
<p>На Мальчика Возраст 8,9 Лет.</p>","<p>Пуховик  и комбинезон Christian Dior</p>","pukhovik-christian-dior-na-8-9-let","Пуховик  и комбинезон Dior на Возраст 8,9 Лет. Отличное Состояние.
Цена 6000 Грн.","","Пуховик  и комбинезон Chrisnian Dior","Пуховик Christian Dior. на 8-9 лет","В наличии","","оригинал,brand fashion,комиссионный магазин,christian dior,детская одежда,купить,Комбинизон","http://brand-fashion.com.ua/home/4940-pukhovik-christian-dior-na-8-9-let.html","Корень|Главная","71","Christian Dior","","http://brand-fashion.com.ua/img/p/1/5/9/159.jpg","UK Standard Rate (20%)","","","","","","","","","","","","","","","","","","","","","","но возраст 8-9 лет","Отличное","","Пуховик","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
